name,scientific_name,description,spacing_mm,height_mm,earliest_plant_day,sunshine,kc_ini,kc_mid,kc_end,l_ini_days,l_dev_days,l_mid_days,l_end_days,icon,photo_url,photo_bg
Courgette,Cucurbita pepo,"Any way you slice it, this healthy powerhouse of squash is all about easy: easy to grow, easy to harvest, easy to use in the kitchen. Zucchini fruit is edible at any stage of maturity, but it tastes best when it's young and tender, long before it balloons into a caveman club. Growing your zucchini not only gives you access to the fruit at its prime; it also means you can harvest the delicate and delicious yellow flowers of this prolific plant.",800,600,01/11/2020,full sun,1,0.95,0.76,25,35,25,15,zucchini.svg,green-thumb/zucchini,green-thumb/zucchini_bg
Cucumber,Cucumis sativus,"Growing cucumbers will not only produce the freshest, most flavorful cucumbers you can imagine, but they can be very lucrative, too. Within two months, you'll have more cucumbers than you know what to do with! They grow well in container garden settings or in raised beds. So find a place with maximum sunshine and fertile soil, and get ready to grow the best cucumber plants with these tips.",300,300,01/06/2020,,0.6,1,0.75,20,30,40,15,cucumber.svg,green-thumb/cucumber,green-thumb/cucumber_bg
Egg plant,Solanum melongena,"Eggplant is easy to grow and some varieties are so beautiful they can be used as ornamentals. The flowers are gorgeous and the eggplants look like little (or big) molded sculptures. Eggplant is somewhat challenging to grow from seed, but it is worth the effort because there is a huge variety you can buy in seed form, while nurseries often only carry a few varieties.",450,750,01/10/2020,,0.6,1.05,0.9,30,40,40,20,eggplant.svg,green-thumb/eggplant,green-thumb/eggplant_bg
Garlic,Allium sativum,"A close relative of the onion, garlic (Allium sativum) is an edible, bulbous plant that has been cultivated for several thousand years. For the home gardener, it is quite easy to grow a year's supply, and the leftover crop can be given away to friends and neighbors.",150,600,01/04/2020,,0.7,1,0.7,25,30,10,5,garlic.svg,green-thumb/garlic,green-thumb/garlic_bg
Green beans,Phaseolus vulgaris,"All kinds of green beans are incredibly easy to grow. You can grow lots of beans in limited space, and there is a huge variety of beans.  Green bean plants are either pole varieties that grow long vines or low-growing bush types. For fresh eating, they are picked young and tender before the seeds inside have fully developed. ",250,600,01/02/2020,,0.5,1.05,0.9,20,30,30,10,green-bean.svg,green-thumb/green-bean,green-thumb/green-bean_bg
Green onion,Allium fistulosum,"Scallions bring the flavor of onions without the long wait in the garden or the peeling in the kitchen. They grow so fast, it is easy enough to simply succession plant them. You could even re-root scallions from the grocery store if you leave a couple of inches of stem attached to the roots. You don't even have to plant them in the garden. Scallions will happily grow in a glass of water. When something is this ridiculously easy to grow, you might as well take every opportunity.",100,150,01/04/2020,,0.7,1,1,25,30,10,5,green-onion.svg,green-thumb/green-onion,green-thumb/green-onion_bg
Kale,Brassica oleracea var. sabellica,"Kale is a cold-hardy vegetable that can be planted in early spring or autumn. Cool weather brings out the sweet, nutty flavor of this highly nutritious green. It's a superfood! Kale likes well-drained soil, and can get by on fewer hours of sunshine than your tomatoes or peppers!",450,450,01/04/2020,,0.7,1.05,0.95,40,60,50,15,kale.svg,green-thumb/kale,green-thumb/kale_bg
Lemon,Citrus × limon,"Growing lemon trees in garden pots is a rewarding experience. Not only are they prolific fruit producers, but the blossoms are also incredibly fragrant and beautiful. The lemon fruit is also sweeter than the fruit of other lemons. Even their thin skins are tasty and great for cooking.",5000,6000,01/01/2020,,0.65,0.6,0.65,60,90,120,95,lemon.svg,green-thumb/lemon,green-thumb/lemon_bg
Lettuce,Lactuca sativa,"It's a shame that so many people automatically associate flavorless, boring old 'Iceberg' with the word “lettuce.” The world of lettuces is full of color, texture, and flavor. If you grow your own, you have that world at your fingertips. Homegrown lettuce is a delight. You can harvest it whenever you have a craving for a cool, crisp salad, and the combinations of colors and flavors you can enjoy is limited only by your imagination.",300,300,01/04/2020,,0.7,1,0.95,20,30,15,10,lettuce.svg,green-thumb/lettuce,green-thumb/lettuce_bg
Potato,Solanum tuberosum,"Potatoes are relatively inexpensive to purchase, but freshly dug potatoes from your home garden have a flavor all their own. Oval baking potatoes and red potatoes have dominated the market, but there are actually over 1,000 different varieties of potatoes available for growing.
When you grow potatoes, you never really know how you're doing until you harvest—and then it's too late to change things. The starchy tubers grow hidden underground as the top half of the plant matures. The potato can be finicky to grow, because of pest and disease problems, but also very rewarding.",300,750,01/05/2020,,0.5,1.15,0.75,25,30,45,30,potato.svg,green-thumb/potato,green-thumb/potato_bg
Pumpkin,Cucurbita,"The plants you know as pumpkins are cultivars of various squash species, mostly Cucurbita pepo, though plants referred to as pumpkins can also be part of other Cucurbita species. They are known for having large fruit with very thick orange or white rinds, which is the feature that makes them so suitable for carving Halloween jack-o'-lanterns. Like most squash species, pumpkins are very easy to grow from seed, but they do require a long growing season and thus are often started from seedlings purchased at a garden center.",900,750,01/03/2020,,0.5,1,0.8,20,30,30,20,pumpkin.svg,green-thumb/pumpkin,green-thumb/pumpkin_bg
Radish,Raphanus sativus,"Radishes are grown in just about every vegetable garden. They are quick to grow and the big seeds are ideal for gardening with kids. When we hear radish, many of us think of small, round, red and tangy. By far, the most popular radishes eaten and grown fit this description. Although there are longer varieties and different color radishes, small round radishes are such quick and easy growers, they virtually define what a radish should be. Even this humble globe-shaped radish offers a good amount of variety. They can be round or oblong, hot or mild, red, pink, purple, white or bi-colored",50,150,01/03/2020,,0.7,0.9,0.85,5,10,15,5,rasish.svg,green-thumb/radish,green-thumb/radish_bg
Raspberry,Rubus idaeus,"Raspberry bushes are easy to grow and yield an impressive harvest. A few bushes will give you enough fruit to eat, preserve, and share. Berries are a fantastic source of antioxidants, vitamins, and fiber. They’re also delicious. And, when you grow your own you’re sure to harvest at the peak of freshness.",900,150,01/03/2020,,0.3,1.05,0.5,20,50,75,60,raspberry.svg,green-thumb/raspberry,green-thumb/raspberry_bg
Spinach,Spinacia oleracea,"Spinach is a leafy green vegetable that grows best in cool weather. Packed with iron, spinach is even higher in vitamins A and C, thiamin, potassium, and folic acid (one of the B-complex vitamins). Spinach, like most dark green leafy vegetables, also contains the carotenoids lutein and zeaxanthin. Oh, and spinach also tastes great eaten fresh or cooked.",300,150,01/04/2020,,0.7,1,0.95,20,20,15,5,spinach.svg,green-thumb/spinach,green-thumb/spinach_bg
Squash,Cucurbita,"Squash is among the most commonly grown plant in the vegetable garden. The main difference between summer and winter squash is that winter squashes have hard, thick rinds that will help them store for long periods of time. In cooler regions, you can start plants indoors three weeks before the last frost date. You don't want to start plants any earlier than this because older plants sometimes will not transplant well.",450,380,01/04/2020,,0.5,0.95,0.75,25,35,25,15,squash.svg,green-thumb/squash,green-thumb/squash_bg
Strawberry,Fragaria × ananassa,"Garden strawberries (Fragaria x ananassa) are an easy-to-grow fruit that will reward the home gardener with ample harvests for many years. With favorable conditions, each strawberry plant should produce one quart of strawberries per season. Garden strawberries produce their fruit in the late spring and early summer months, though it can be earlier in warmer climate zone",300,300,01/03/2020,,0.4,0.85,0.75,20,50,75,60,strawberry.svg,green-thumb/strawberry,green-thumb/strawberry_bg
Tomatoes,Solanum lycopersicum,"Burying your tomato plants deep into the soil helps them grow better because tomatoes form roots all along any buried portion of the stem—if you look closely you will see tiny bumps, which are the roots before they develop. planting causes the roots to grow stronger, you may have a more difficult time pulling out the plants at the end of the season. But the healthy, more productive tomato plant will be worth it!",600,1200,01/11/2020,full sun,1,1.15,0.8,35,40,50,30,tomato.svg,green-thumb/tomato,green-thumb/tomato_bg
Water melons,Citrullus lanatus,"Although watermelons aren't difficult to grow, they need a lot of nutrients, sun, warmth, and water to thrive.When you're growing watermelon from seed, plant them in a space that provides plenty of room to roam, as the vines can grow to be up to 20 feet long. To grow to their fullest potential, watermelons need full sun for eight to 10 hours a day. ",600,600,01/04/2020,,0.4,1,0.75,20,30,30,30,watermelon.svg,green-thumb/watermelon,green-thumb/watermelon_bg
