id,name,scientific_name,spacing_mm,height_mm,earliest_plant_day,sunshine,kc_ini,kc_mid,kc_end,l_ini_days,l_dev_days,l_mid_days,l_end_days,photo_url,icon,created_at,updated_at,description,photo_bg
11,Courgette,Cucurbita pepo,800,600,2020-11-01,full sun,1.0,0.95,0.76,25,35,25,15,green-thumb/zucchini,zucchini.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Any way you slice it, this healthy powerhouse of squash is all about easy: easy to grow, easy to harvest, easy to use in the kitchen. Zucchini fruit is edible at any stage of maturity, but it tastes best when it's young and tender, long before it balloons into a caveman's club. Growing your zucchini not only gives you access to the fruit at its prime; it also means you can harvest the delicate and delicious yellow flowers of this prolific plant.",green-thumb/zucchini_bg.jpg
12,Cucumber,Cucumis sativus,300,300,2020-06-01,,0.6,1.0,0.75,20,30,40,15,green-thumb/cucumber,cucumber.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Growing cucumbers will not only produce the freshest, most flavorful cucumbers you can imagine, but they can be very lucrative, too. Within two months, you'll have more cucumbers than you know what to do with! They grow well in container garden settings or in raised beds, just give them a place with maximum sunshine and fertile soil.",green-thumb/cucumber_bg
13,Eggplant,Solanum melongena,450,750,2020-10-01,,0.6,1.05,0.9,30,40,40,20,green-thumb/eggplant,eggplant.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Eggplant is easy to grow and some varieties are so beautiful they can be used as ornamentals. Eggplant is somewhat challenging to grow from seed, but it is worth the effort because there is a huge variety you can buy in seed form, while nurseries often only carry a few varieties.",green-thumb/eggplant_bg
14,Garlic,Allium sativum,150,600,2020-04-01,,0.7,1.0,0.7,25,30,10,5,green-thumb/garlic,garlic.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"A close relative of the onion, garlic is an edible, bulbous plant that has been cultivated for several thousand years. For the home gardener, it is quite easy to grow a year's supply, and the leftover crop can be given away to friends and neighbors.",green-thumb/garlic_bg
15,Green Beans,Phaseolus vulgaris,250,600,2020-02-01,,0.5,1.05,0.9,20,30,30,10,green-thumb/green-bean,green-beans.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"All kinds of green beans are incredibly easy to grow. You can grow lots of beans in limited space, and there is a huge variety of beans. Green bean plants are either pole varieties that grow long vines or low-growing bush types. For fresh eating, they are picked young and tender before the seeds inside have fully developed. ",green-thumb/green-bean_bg
16,Green Onion,Allium fistulosum,100,150,2020-04-01,,0.7,1.0,1.0,25,30,10,5,green-thumb/green-onion,green-onion.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Scallions bring the flavor of onions without the long wait in the garden or the peeling in the kitchen. You can even re-root scallions from the grocery store if you leave a couple of inches of stem attached to the roots. You don't even have to plant them in the garden. Scallions will happily grow in a glass of water. When something is this ridiculously easy to grow, you might as well take every opportunity.",green-thumb/green-onion_bg
17,Kale,Brassica oleracea var. sabellica,450,450,2020-04-01,,0.7,1.05,0.95,40,60,50,15,green-thumb/kale,kale.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Kale is a cold-hardy vegetable that can be planted in early spring or autumn. Cool weather brings out the sweet, nutty flavor of this highly nutritious green. It's a superfood! It takes a lot to discourage a kale plant from growing, and they can get by on fewer hours of sunshine than your tomatoes or peppers.",green-thumb/kale_bg
18,Lemon,Citrus limon,5000,6000,2020-01-01,,0.65,0.6,0.65,60,90,120,95,green-thumb/lemon,lemon.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Growing lemon trees in garden pots is a rewarding experience. Not only are they prolific fruit producers, but the blossoms are also incredibly fragrant and beautiful. The lemon fruit is also sweeter than the fruit of other lemons. Even their thin skins are tasty and great for cooking.",green-thumb/lemon_bg
19,Lettuce,Lactuca sativa,300,300,2020-04-01,,0.7,1.0,0.95,20,30,15,10,green-thumb/lettuce,lettuce.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"It's a shame that so many people automatically associate flavorless, boring old 'Iceberg' with the word “lettuce.” The world of lettuces is full of color, texture, and flavor. If you grow your own, you have that world at your fingertips. Homegrown lettuce is a delight. You can harvest it whenever you have a craving for a cool, crisp salad, and the combinations of colors and flavors you can enjoy is limited only by your imagination.",green-thumb/lettuce_bg
20,Potato,Solanum tuberosum,300,750,2020-05-01,,0.5,1.15,0.75,25,30,45,30,green-thumb/potato,potato.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Potatoes are relatively inexpensive to purchase, but freshly dug potatoes from your home garden have a flavor all their own. Oval baking potatoes and red potatoes have dominated the market, but there are actually over 1,000 different varieties of potatoes available for growing. The starchy tubers grow hidden underground as the top half of the plant matures. The potato can be finicky to grow, because of succeptibility to pests and diseases, and you never really know how they're doing until you harvest. But they are also very rewarding.",green-thumb/potato_bg
21,Pumpkin,Cucurbita,900,750,2020-03-01,,0.5,1.0,0.8,20,30,30,20,green-thumb/pumpkin,pumpkin.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"The plants you know as pumpkins are cultivars of various squash species. They are known for having large fruit with very thick orange or white rinds, which is the feature that makes them so suitable for carving Halloween jack-o'-lanterns. Like most squash species, pumpkins are very easy to grow from seed, but they do require a long growing season and thus are often started from seedlings purchased at a garden center.",green-thumb/pumpkin_bg
22,Radish,Raphanus sativus,50,150,2020-03-01,,0.7,0.9,0.85,5,10,15,5,green-thumb/radish,radish.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Radishes are grown in just about every vegetable garden. They are quick to grow and the big seeds are ideal for gardening with kids. When we hear radish, many of us think of small, round, red and tangy. By far, the most popular radishes eaten and grown fit this description, but there are longer varieties and different colored radishes. Small round radishes are such quick and easy growers, they virtually define what a radish should be. Even this humble globe-shaped radish offers a good amount of variety. They can be round or oblong, hot or mild, red, pink, purple, white or bi-colored",green-thumb/radish_bg
23,Raspberry,Rubus idaeus,900,150,2020-03-01,,0.3,1.05,0.5,20,50,75,60,green-thumb/raspberry,raspberry.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Raspberry bushes are easy to grow and yield an impressive harvest. A few bushes will give you enough fruit to eat, preserve, and share. Berries are a fantastic source of antioxidants, vitamins, and fiber. They’re also delicious. And, when you grow your own you get the perk of being able to harvest at the peak of freshness.",green-thumb/raspberry_bg
24,Spinach,Spinacia oleracea,300,150,2020-04-01,,0.7,1.0,0.95,20,20,15,5,green-thumb/spinach,spinach.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Spinach is a leafy green vegetable that grows best in cool weather. Packed with iron, spinach is even higher in Vitamins A and C, Thiamin, Potassium, and Folic Acid (one of the B-complex vitamins). Like most dark green leafy vegetables, it also contains the carotenoids lutein and zeaxanthin. Spinach also tastes great eaten fresh or cooked.",green-thumb/spinach_bg
25,Squash,Cucurbita,450,380,2020-04-01,,0.5,0.95,0.75,25,35,25,15,green-thumb/squash,squash.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Squash is among the most commonly grown plant in the vegetable garden. The main difference between summer and winter squash is that winter squashes have hard, thick rinds that will help them store for long periods of time. In cooler regions, you can start plants indoors three weeks before the last frost date, but you don't want to start plants any earlier than this because older plants will not always transplant well.",green-thumb/squash_bg
26,Strawberry,Fragaria × ananassa,300,300,2020-03-01,,0.4,0.85,0.75,20,50,75,60,green-thumb/strawberry,strawberry.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Garden strawberries are an easy-to-grow fruit that will reward the home gardener with ample harvests for many years. With favorable conditions, each plant should produce one quart of strawberries per season. Garden strawberries produce their fruit in the late spring and early summer months, though it can be earlier in warmer climate zones.",green-thumb/strawberry_bg
27,Tomatoes,Solanum lycopersicum,600,1200,2020-11-01,full sun,1.0,1.15,0.8,35,40,50,30,green-thumb/tomato,tomato.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Burying your tomato plants deep into the soil helps them grow better because tomatoes form roots all along any buried portion of the stem—if you look closely you will see tiny bumps, which are the roots before they develop! Planting causes the roots to grow stronger, so you may have a more difficult time pulling out the plants at the end of the season. But the healthy, more productive tomato plant will be well worth it!",green-thumb/tomato_bg
28,Watermelons,Citrullus lanatus,600,600,2020-04-01,,0.4,1.0,0.75,20,30,30,30,green-thumb/watermelon,watermelon.svg,2020-03-12 11:06:54 UTC,2020-03-12 11:06:54 UTC,"Although watermelons aren't difficult to grow, they need a lot of nutrients, sun, warmth, and water to thrive.When you're growing watermelon from seed, plant them in a space that provides plenty of room to roam, as the vines can grow to be up to 20 feet long. To grow to their fullest potential, watermelons need full sun for eight to 10 hours a day. ",green-thumb/watermelon_bg
